carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
CA-37,31082.236129032255,1757.9025806451614,5.0,0.05655650299249862
CO-31,25949.504672897197,2911.598130841121,2.0,0.1122024550195797
CO-32,17535.23240589198,2667.566284779051,2.0,0.1521260866712395
CS-22,18343.11164465786,2544.9543817527006,7.0,0.13874169394230768
CT-31,3678.773381294964,530.6145083932855,2.0,0.14423680216107904
CT-32,31915.35051546392,1390.0515463917525,3.0,0.0435543249233071
CT-33,24052.921171171172,531.0337837837839,2.0,0.022077725196233494
CT-34,17575.16556291391,2165.6676700782664,8.0,0.12322317319434715
CV-80,32549.38775510204,5724.285714285715,2.0,0.1758646201690367
EL-20,35564.54695611137,2492.448796602171,7.0,0.07008239974708497
EX-A1,8234.986352941176,1389.8630588235294,3.0,0.16877539309183326
Enlace AP-7/A-2 (El Papiol),122803.01237751418,18057.18463125322,4.0,0.14704187040414635
Enlace AP-7/A-2 (Martorell),60163.04214559388,9879.842911877397,3.0,0.16421780813490597
Enlace AP-9/N-640,16727.03448275862,1878.103448275862,2.0,0.11227952272183787
FE-11,13087.513059701496,441.1128731343284,6.0,0.03370486593763823
FE-12,20308.0,1237.0,2.0,0.06091195587945637
FE-13,11612.765782250686,296.45471180237877,5.0,0.025528346766064067
FE-14,17810.527102803742,304.6056074766355,4.0,0.017102559947744855
GJ-10,32000.000000000004,2480.0,1.0,0.07749999999999999
GJ-81,38281.924114671165,2600.084317032041,4.0,0.06791937388631897
GR-14,4287.992316136115,258.4017563117454,2.0,0.06026171160320308
GR-16,4578.878228782288,585.8487084870849,4.0,0.1279459027332304
GR-30,61541.132464383154,3145.317368899667,12.0,0.051109188975682486
H-30,19491.176270136304,1600.8516109045852,11.0,0.08213211910444593
H-31,23241.68118369626,1598.0329424902288,5.0,0.06875720090383257
LE-11,14780.293400286942,1060.1169296987089,5.0,0.07172502608629731
LE-20,24872.3921901528,1162.23259762309,5.0,0.0467278172818145
