municipality_code,municipality_name,population_year,municipal_population
05021,"Barco de Ávila, El",2025,2317.0
05022,"Barraco, El",2025,2084.0
05023,Barromán,2025,174.0
05024,Becedas,2025,150.0
05025,Becedillas,2025,70.0
05026,Bercial de Zapardiel,2025,166.0
05027,"Berlanas, Las",2025,322.0
05029,Bernuy-Zapardiel,2025,81.0
05030,Berrocalejo de Aragona,2025,55.0
05033,Blascomillán,2025,169.0
05034,Blasconuño de Matacabras,2025,14.0
05035,Blascosancho,2025,86.0
05036,"Bohodón, El",2025,104.0
05037,Bohoyo,2025,204.0
05038,Bonilla de la Sierra,2025,139.0
05039,Brabos,2025,38.0
05040,Bularros,2025,55.0
05041,Burgohondo,2025,1273.0
05042,Cabezas de Alambre,2025,153.0
05043,Cabezas del Pozo,2025,81.0
05044,Cabezas del Villar,2025,227.0
05045,Cabizuela,2025,90.0
05046,Canales,2025,42.0
05047,Candeleda,2025,4999.0
05048,Cantiveros,2025,102.0
05049,Cardeñosa,2025,431.0
05051,"Carrera, La",2025,155.0
05052,Casas del Puerto,2025,79.0
05053,Casasola,2025,69.0
05054,Casavieja,2025,1371.0
05055,Casillas,2025,672.0
05056,Castellanos de Zapardiel,2025,107.0
05057,Cebreros,2025,3337.0
05058,Cepeda la Mora,2025,64.0
05059,Cillán,2025,83.0
05060,Cisla,2025,107.0
05061,"Colilla, La",2025,376.0
05062,Collado de Contreras,2025,149.0
05063,Collado del Mirón,2025,19.0
05064,Constanzana,2025,104.0
05065,Crespos,2025,469.0
05066,Cuevas del Valle,2025,511.0
05067,Chamartín,2025,63.0
05069,Donjimeno,2025,70.0
05070,Donvidas,2025,31.0
05072,Espinosa de los Caballeros,2025,106.0
05073,Flores de Ávila,2025,262.0
05074,Fontiveros,2025,717.0
05075,Fresnedilla,2025,94.0
05076,"Fresno, El",2025,583.0
05077,Fuente el Saúz,2025,146.0
05078,Fuentes de Año,2025,91.0
05079,Gallegos de Altamiros,2025,61.0
